seed_param,seed_sim,r,n,events,median,lwr,upr
8,3,-0.5,100,100,70,65,70
8,3,-0.25,100,100,70,65,70
8,3,0,100,100,67.5,65,70
8,3,0.25,100,100,70,65,70
8,3,0.5,100,100,70,65,70
8,3,0.75,100,100,65,65,70
8,3,1,100,100,70,70,70
8,4,-1,100,100,65,65,70
8,4,-0.75,100,100,65,65,70
8,4,-0.5,100,100,70,65,70
8,4,-0.25,100,100,70,65,70
8,4,0,100,100,65,65,70
8,4,0.25,100,100,70,65,75
8,4,0.5,100,100,65,65,70
8,4,0.75,100,100,70,65,70
8,4,1,100,100,70,70,70
8,5,-1,100,100,70,65,75
8,5,-0.75,100,100,70,65,70
8,5,-0.5,100,100,70,65,70
8,5,-0.25,100,100,70,65,70
8,5,0,100,100,70,65,70
8,5,0.25,100,100,70,65,70
8,5,0.5,100,100,70,70,70
8,5,0.75,100,100,70,70,70
8,5,1,100,100,70,70,70
8,6,-1,100,100,70,65,70
8,6,-0.75,100,100,70,65,70
8,6,-0.5,100,100,65,65,70
8,6,-0.25,100,100,70,65,70
8,6,0,100,100,70,65,70
8,6,0.25,100,100,70,65,70
8,6,0.5,100,100,70,65,70
8,6,0.75,100,100,70,70,70
8,6,1,100,100,70,70,70
8,7,-1,100,100,67.5,65,70
8,7,-0.75,100,100,65,65,70
8,7,-0.5,100,100,67.5,65,70
8,7,-0.25,100,100,70,65,70
8,7,0,100,100,70,65,75
8,7,0.25,100,100,70,70,70
8,7,0.5,100,100,70,65,70
8,7,0.75,100,100,70,65,70
8,7,1,100,100,70,70,70
8,8,-1,100,100,67.5,65,75
8,8,-0.75,100,100,70,65,75
8,8,-0.5,100,100,65,65,70
8,8,-0.25,100,100,70,65,70
8,8,0,100,100,67.5,65,70
8,8,0.25,100,100,70,65,70
8,8,0.5,100,100,70,65,70
8,8,0.75,100,100,70,65,70
8,8,1,100,100,70,65,70
8,9,-1,100,100,65,65,70
8,9,-0.75,100,100,70,65,70
8,9,-0.5,100,100,70,65,70
8,9,-0.25,100,100,70,65,70
8,9,0,100,100,65,65,70
8,9,0.25,100,100,70,65,70
8,9,0.5,100,100,70,65,70
8,9,0.75,100,100,70,65,70
8,9,1,100,100,70,65,70
8,10,-1,100,100,65,65,70
8,10,-0.75,100,100,65,65,70
8,10,-0.5,100,100,65,65,70
8,10,-0.25,100,100,70,65,70
8,10,0,100,100,70,65,75
8,10,0.25,100,100,70,70,75
8,10,0.5,100,100,70,65,70
8,10,0.75,100,100,70,65,70
8,10,1,100,100,70,65,70
