seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
5,8,-0.25,68.45,14.816981112660207,65,60,75,15
5,8,0,68.95,12.658988901172163,67.5,60,75,15
5,8,0.25,68.9,11.776110040109495,70,63.75,75,11.25
5,8,0.5,68.2,9.731755787475901,70,60,75,15
5,8,0.75,68.7,8.692850888267701,70,65,75,10
5,8,1,68.6,8.16743966657059,67.5,65,75,10
5,9,-1,68.6,18.049874786213334,65,58.75,75,16.25
5,9,-0.75,69.05,17.38882434557357,65,60,75,15
5,9,-0.5,68.15,16.02799003763306,67.5,58.75,75,16.25
5,9,-0.25,68.75,14.166666666666668,70,60,75,15
5,9,0,68.05,11.631874528660678,65,60,75,15
5,9,0.25,69.1,12.110184377480206,70,60,75,15
5,9,0.5,67.95,10.780055471081582,65,60,75,15
5,9,0.75,67.75,8.268688657895648,65,65,70,5
5,9,1,69.75,8.479773915415768,70,65,75,10
5,10,-1,68.3,16.146738733167503,65,60,80,20
5,10,-0.75,67.65,15.083186840072136,65,60,75,15
5,10,-0.5,67.6,13.03608046689625,67.5,60,75,15
5,10,-0.25,69.95,13.623638844065685,70,60,80,20
5,10,0,68.15,11.990210653493603,65,60,75,15
5,10,0.25,67.7,11.019266873265318,65,60,75,15
5,10,0.5,68.05,10.46627580818169,70,60,75,15
5,10,0.75,68.45,8.952596824329234,70,65,75,10
5,10,1,69.05,7.577711869140788,70,65,75,10
6,1,-1,68.3,14.910846164230028,70,55,80,25
6,1,-0.75,68.7,14.418352502588112,70,58.75,75,16.25
6,1,-0.5,68.95,13.730725701244937,70,60,80,20
6,1,-0.25,68.85,13.29264625439361,65,60,76.25,16.25
6,1,0,68.75,13.245448999257036,65,60,76.25,16.25
6,1,0.25,69.65,11.704592036780895,70,60,80,20
6,1,0.5,70.35,10.1318330229056,70,65,75,10
6,1,0.75,69.1,9.083785087459496,70,65,75,10
6,1,1,68.25,7.295183134760701,70,65,75,10
6,2,-1,68.65,14.751390963347673,70,55,80,25
6,2,-0.75,68.1,13.310207217080288,65,60,76.25,16.25
6,2,-0.5,68.5,12.663077641455704,65,60,80,20
6,2,-0.25,67.65,12.236206416808582,65,60,75,15
6,2,0,68.35,11.526320341117568,70,60,75,15
6,2,0.25,68.2,9.783515304693488,67.5,60,75,15
6,2,0.5,69.5,10.408329997330663,70,65,75,10
6,2,0.75,68.5,8.48349556313298,70,63.75,75,11.25
6,2,1,70.15,7.83204373652938,70,65,75,10
6,3,-1,69.25,15.7373486144948,70,55,76.25,21.25
6,3,-0.75,69,15.324767040594283,65,55,80,25
6,3,-0.5,69.85,15.233121144334794,67.5,60,80,20
6,3,-0.25,69.85,13.132098849841947,70,60,75,15
6,3,0,69.05,12.302890355973718,70,60,80,20
6,3,0.25,70.15,11.644025649805712,70,60,80,20
6,3,0.5,68.5,9.521374147493924,65,60,75,15
6,3,0.75,69.15,8.073369366583751,70,65,75,10
6,3,1,69.4,7.986099033807293,70,65,75,10
6,4,-1,68.2,14.573394881901692,65,55,80,25
6,4,-0.75,68.5,14.293107754891142,70,55,76.25,21.25
6,4,-0.5,68.35,11.721839239279609,70,60,75,15
6,4,-0.25,68.45,11.94885988390744,67.5,60,75,15
6,4,0,68.95,12.06662899709506,70,60,75,15
6,4,0.25,68.1,11.231719153874671,70,60,75,15
6,4,0.5,67.85,8.996492021164066,65,65,75,10
6,4,0.75,68.65,8.434387285919996,70,63.75,75,11.25
